File,tRNA,gene,misc_feature,misc_binding,regulatory,ncRNA,rRNA,tmRNA,CDS
AR465,59,2934,5,4,13,3,19,1,2852
M48,60,3107,5,4,13,3,16,1,3027
P10,59,3250,0,0,10,3,8,1,3179
V521,60,3194,0,10,0,3,16,1,3114
R50,59,3008,0,0,10,3,10,1,2935
